Calendar_Year,Earned_Premium
1978,"$1181,810,586"
1979,"$11125,482,502"
1980,"$11149,177,714"
1981,"$11180,982,603"
1982,"$11247,697,708"
1983,"$11313,020,325"
1984,"$11334,864,485"
1985,"$11364,845,810"
1986,"$11403,438,102"
1987,"$11462,105,442"
1988,"$11491,301,180"
1989,"$11531,265,082"
1990,"$11570,421,561"
1991,"$11602,301,127"
1992,"$11627,229,040"
1993,"$11668,819,410"
1994,"$11736,954,463"
1995,"$11822,121,437"
1996,"$11907,610,977"
1997,"$111,045,151,474"
1998,"$111,229,887,084"
1999,"$111,325,466,298"
2000,"$111,422,825,853"
2001,"$111,518,141,702"
2002,"$111,618,740,888"
2003,"$111,704,109,160"
2004,"$111,818,697,632"
2005,"$111,975,659,632"
2006,"$112,261,970,594"
2007,"$112,555,058,659"
2008,"$112,801,576,887"
2009,"$112,976,760,874"
2010,"$113,125,542,767"
2011,"$113,241,015,861"
2012,"$113,341,335,762"
2013,"$113,512,987,082"
2014,"$113,542,524,781"
2015,"$113,436,750,383"
2016,"$113,332,142,136"
2017,"$113,308,151,440"
2018,"$113,327,326,937"
